Question,Answer
Which champion can slow and reveal enemies with the ability 'Void Seeker'?," ""Kai'Sa"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Grants invisibility on kill and bonus damage"""
Which champion has the ability 'Bandage Toss'?," ""Amumu"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
"Which champion's passive ability is 'Eternal Thirst', healing on hit?"," ""Warwick"""
What is the name of the item that grants bonus ability power and health?," ""Liandry's Anguish"""
Which champion can knock up enemies with the ability 'Grand Entrance'?," ""Rakan"""
What is the main function of the item 'Spirit Visage'?," ""Increases healing effects and magic resist"""
Which champion has the ability 'Time Bomb'?," ""Zilean"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Vengeance', gaining attack speed on kill?"," ""Varus"""
What is the name of the item that grants bonus armor and health regeneration?," ""Warmog's Armor"""
Which champion can root enemies with the ability 'Grasping Roots'?," ""Zyra"""
What is the main function of the item 'Mortal Reminder'?," ""Reduces healing on hit and grants attack damage"""
Which champion has the ability 'Vanguard's Edge'?," ""Irelia"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Clean Cuts', causing basic attacks to strike multiple enemies?"," ""Xayah"""
What is the name of the item that grants bonus attack speed and ability power?," ""Nashor's Tooth"""
Which champion can disable enemy turrets with the ability 'Hextech Ultimatum'?," ""Camille"""
What is the main function of the item 'Edge of Night'?," ""Provides a spell shield and bonus lethality"""
Which champion has the ability 'Crescendo'?," ""Sona"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Gift of the Drowned Ones', allowing a resurrection?"," ""Pyke"""
What is the name of the item that grants bonus health and attack damage?," ""Black Cleaver"""
Which champion can reset their abilities with the ability 'Rocket Jump'?," ""Tristana"""
What is the main function of the item 'Phantom Dancer'?," ""Grants bonus attack speed and movement speed"""
Which champion has the ability 'Death Lotus'?," ""Katarina"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Determination', healing on every 4th hit?"," ""Sett"""
What is the name of the item that grants bonus ability power and lifesteal?," ""Hextech Gunblade"""
Which champion can knock up enemies with the ability 'Cyclone'?," ""Wukong"""
What is the main function of the item 'Force of Nature'?," ""Increases movement speed and magic resist"""
Which champion has the ability 'Emperor's Divide'?," ""Azir"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Clockwork Windup', dealing bonus magic damage on auto attacks?"," ""Orianna"""
What is the name of the item that grants bonus attack damage and health?," ""Titanic Hydra"""
Which champion can push enemies away with the ability 'Monsoon'?," ""Janna"""
Which champion has the ability 'Dragon's Descent'?," ""Shyvana"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Soul Eater', converting damage dealt to healing?"," ""Aatrox"""
What is the name of the item that grants bonus ability power and armor?," ""Seeker's Armguard"""
Which champion can dash to enemies with the ability 'Assassin's Path'?," ""Akali"""
What is the main function of the item 'Shurelya's Battlesong'?," ""Provides movement speed boost to allies"""
Which champion has the ability 'Featherstorm'?," ""Xayah"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Crest of Cinders', dealing bonus magic damage on hit?"," ""No longer available"""
What is the name of the item that grants bonus attack damage and lethality?," ""Prowler's Claw"""
Which champion can knock up enemies with the ability 'Let's Bounce!'?," ""Zac"""
What is the main function of the item 'Horizon Focus'?," ""Increases damage to immobilized enemies"""
Which champion has the ability 'Ragnarok'?," ""Olaf"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Icathian Surprise', dealing damage upon death?"," ""Kog'Maw"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can cleanse crowd control effects with the ability 'Unbreakable Will'?," ""Alistar"""
What is the main function of the item 'Frozen Heart'?," ""Reduces enemy attack speed"""
Which champion has the ability 'Collateral Damage'?," ""Graves"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
"Which champion's passive ability is 'Rage', granting bonus attack speed after critical strikes?"," ""Tryndamere"""
What is the name of the item that grants bonus health and mana?," ""Fimbulwinter"""
Which champion can root enemies with the ability 'Rune Prison'?," ""Ryze"""
What is the main function of the item 'Chemtech Putrifier'?," ""Applies Grievous Wounds to enemies hit by abilities"""
Which champion has the ability 'Final Spark'?," ""Lux"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Curse of the Sad Mummy', stunning enemies when hit?"," ""Amumu"""
What is the name of the item that grants bonus ability power and health?," ""Rylai's Crystal Scepter"""
Which champion can throw an axe that returns to them with the ability 'Spinning Axe'?," ""Draven"""
What is the main function of the item 'Turbo Chemtank'?," ""Grants a burst of movement speed when moving toward enemies"""
Which champion has the ability 'Crescent Guard'?," ""Xin Zhao"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Force Pulse', slowing enemies when fully charged?"," ""Kassadin"""
What is the name of the item that grants bonus health and tenacity?," ""Mercurial Scimitar"""
What is the name of Jinx's ultimate ability?," ""Super Mega Death Rocket!"""
Which champion is known as 'The Hallowed'?," ""Nidalee"""
What does the 'Elder Dragon' buff provide?," ""Grants a powerful burn effect and bonus damage to dragons and their minions"""
Which champion can heal allies with the ability 'Prismatic Barrier'?," ""Lux"""
What is the name of the item that grants bonus attack damage and cooldown reduction?," ""Goredrinker"""
"Which champion's passive ability is 'Unstoppable Force', granting bonus movement speed and damage reduction?"," ""Nasus"""
What is the main function of the item 'Everfrost'?," ""Provides crowd control and additional magic damage on ability hit"""
Which champion can channel a powerful beam with the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion has the ability 'Scorched Earth'?," ""Ryze"""
What is the effect of the 'Hextech Dragon' buff?," ""Grants bonus ability haste and a burn effect on abilities"""
Which champion's ultimate ability is 'Celestial Expansion'?," ""Janna"""
What is the name of the item that grants bonus attack damage and lifesteal on basic attacks?," ""Bloodthirster"""
Which champion can dash through enemies with the ability 'Sonic Wave'?," ""Lee Sin"""
What is the main function of the item 'Infinity Force'?," ""Grants bonus health and bonus damage on hit"""
Which champion has the ability 'Paddle Star'?," ""Zoe"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Grit', reducing damage taken after a few seconds?"," ""Ornn"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Rapid Firecannon"""
Which champion can provide a shield and movement speed with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Void Staff'?," ""Increases magic penetration"""
Which champion has the ability 'Siphon of Destruction'?," ""Vladimir"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Hallowed Mist', providing bonus resistances in certain areas?"," ""Fiora"""
What is the name of the item that grants bonus health and bonus attack damage?," ""Gargoyle Stoneplate"""
Which champion can root enemies with the ability 'Toxic Shot'?," ""Toxic Shot"""
What is the main function of the item 'Dark Seal'?," ""Provides bonus ability power and stackable bonus AP on kills"""
Which champion has the ability 'Thunderclap'?," ""Jinx"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'The Box', trapping enemies in a hexagon of walls?"," ""Thresh"""
What is the name of the item that grants bonus attack damage and bonus critical strike chance?," ""Galeforce"""
Which champion can stealth with the ability 'Shroud of Darkness'?," ""Kassadin"""
What is the main function of the item 'Twin Shadows'?," ""Summons two ghostly spirits that chase and slow enemies"""
Which champion has the ability 'Cosmic Radiance'?," ""Soraka"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Frost Shot', slowing and dealing bonus damage?"," ""Ashe"""
What is the name of the item that grants bonus attack damage and movement speed?," ""Trinity Force"""
Which champion can revive allies with the ability 'Resurrection'?," ""Janna"""
What is the main function of the item 'Shard of True Ice'?," ""Provides bonus mana and ability power"""
Which champion has the ability 'Expunge'?," ""Twitch"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Divine Sunderer', dealing bonus damage based on health differences?"," ""Garen"""
What is the name of the item that grants bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can knock up enemies with the ability 'Wild Growth'?," ""Lulu"""
What is the main function of the item 'Essence Reaver'?," ""Provides bonus attack damage and mana on critical strikes"""
Which champion has the ability 'Vengeful Maelstrom'?," ""Maokai"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow?"," ""Lissandra"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Wit's End"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Grants invisibility on kill and bonus lethality"""
Which champion has the ability 'Quinn'?," ""Quinn"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'The Rake', dealing bonus damage on every third attack?"," ""Kennen"""
What is the name of the item that grants bonus attack damage and armor?," ""Black Cleaver"""
Which champion can silence enemies with the ability 'Rupture'?," ""Cho'Gath"""
What is the main function of the item 'Eclipse'?," ""Provides bonus lethality and movement speed on attacking enemies"""
Which champion has the ability 'Killer Instinct'?," ""Kai'Sa"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Fervor of Battle', dealing bonus damage with sustained attacks?"," ""Jhin"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Liandry's Anguish"""
Which champion can provide a shield with the ability 'Sacred Shield'?," ""Janna"""
What is the main function of the item 'Chempunk Chainsword'?," ""Applies Grievous Wounds and provides bonus attack damage"""
Which champion has the ability 'Fate's Call'?," ""Rakan"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'The Eternal Hunger', granting bonus attack speed on takedowns?"," ""Warwick"""
What is the name of the item that grants bonus health and ability power?," ""Abyssal Mask"""
Which champion can teleport to allies with the ability 'Locus of Power'?," ""Soraka"""
What is the main function of the item 'Bramble Vest'?," ""Reduces healing on hit and provides bonus armor"""
Which champion has the ability 'Riftwalk'?," ""Kassadin"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Divine Blessing', healing allies upon taking damage?"," ""Janna"""
What is the name of the item that grants bonus attack speed and ability power?," ""Nashor's Tooth"""
Which champion can provide a shield with the ability 'Guardian of the Ages'?," ""Karma"""
What is the main function of the item 'Force of Nature'?," ""Increases movement speed and magic resist"""
Which champion has the ability 'Barrage'?," ""Gangplank"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Coup de Grace', dealing bonus damage to low-health targets?"," ""Jhin"""
What is the name of the item that grants bonus health and attack speed?," ""Gargoyle Stoneplate"""
Which champion can knock up enemies with the ability 'Cyclone'?," ""Wukong"""
What is the main function of the item 'Serpent's Fang'?," ""Provides bonus lethality and a shield break effect"""
Which champion has the ability 'Meteor Strike'?," ""Aurelion Sol"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Heartbreaker', dealing bonus damage after a few seconds?"," ""Fiora"""
What is the name of the item that grants bonus attack damage and lethality?," ""Prowler's Claw"""
Which champion can root enemies with the ability 'Brambles'?," ""Sejuani"""
What is the main function of the item 'Shard of True Ice'?," ""Provides bonus mana and ability power"""
Which champion has the ability 'Prismatic Barrier'?," ""Lux"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
Which champion's passive ability is 'Moonstone'?," ""Karma"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can silence enemies with the ability 'Void Lash'?," ""Kassadin"""
What is the main function of the item 'Horizon Focus'?," ""Increases damage to immobilized enemies"""
Which champion has the ability 'Reckoning'?," ""Kayle"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion's passive ability is 'Exude'?," ""Sejuani"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Rapid Fire"""
What is the name of Kled's ultimate ability?," ""Chaaaaaaaarge!!!"""
Which champion is known as 'The Eternal Hunger'?," ""Warwick"""
Which champion can place a totem with the ability 'Ward of the Druid'?," ""Shen"""
What is the name of the item that grants bonus attack damage and ability power?," ""Goredrinker"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the main function of the item 'Riftmaker'?," ""Provides bonus damage based on the enemy's health and amplifies damage to enemies"""
Which champion can stun enemies with the ability 'Coup de Grace'?," ""Jhin"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion has the ability 'QSS'?," ""Quicksilver"""
What is the effect of the 'Mountain Drake' buff?," ""Grants bonus armor and magic resist"""
Which champion's ultimate ability is 'Cosmic Radiance'?," ""Soraka"""
What is the name of the item that grants bonus ability power and spell shield?," ""Mikael's Crucible"""
Which champion can cleanse debuffs with the ability 'Heavenly Wave'?," ""Karma"""
What is the main function of the item 'Muramana'?," ""Converts mana into bonus attack damage and provides bonus damage on basic attacks"""
Which champion has the ability 'Toxic Shot'?," ""Twitch"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Grit', granting bonus health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Galeforce"""
Which champion can shield themselves with the ability 'Shield of Durand'?," ""Alistar"""
What is the main function of the item 'Demonic Embrace'?," ""Deals damage over time based on enemy's maximum health"""
Which champion has the ability 'Hallowed Mist'?," ""Fiora"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Immortal Shieldbow', providing a shield on low health?"," ""Aphelios"""
What is the name of the item that grants bonus attack damage and mana?," ""Ravenous Hydra"""
Which champion can provide a movement speed boost with the ability 'Swiftshiver'?," ""Ivern"""
What is the main function of the item 'Luden's Tempest'?," ""Deals bonus magic damage on ability hit and grants bonus movement speed"""
Which champion has the ability 'Runic Shield'?," ""Ryze"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Heartseeker Strike', dealing bonus damage based on missing health?"," ""Kennen"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Serpent's Fang'?," ""Provides bonus lethality and breaks shields"""
Which champion has the ability 'Winter's Wrath'?," ""Lissandra"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
Which champion's passive ability is 'Abyssal'?," ""Karthus"""
What is the name of the item that grants bonus attack speed and bonus armor?," ""Wit's End"""
Which champion can knock up enemies with the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Grants bonus lethality and invisibility on kill"""
Which champion has the ability 'Sandshrike's Claw'?," ""Nasus"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Unseen Threat', dealing bonus damage on hit?"," ""Kha'Zix"""
What is the name of the item that grants bonus health and cooldown reduction?," ""Gargoyle Stoneplate"""
Which champion can pull enemies with the ability 'Harpoon'?," ""Nautilus"""
What is the main function of the item 'Chempunk Chainsword'?," ""Applies Grievous Wounds and provides bonus attack damage"""
Which champion has the ability 'Toxic Shot'?," ""Twitch"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Starfall', dealing bonus damage based on maximum health?"," ""Soraka"""
What is the name of the item that grants bonus attack damage and crit chance?," ""Infinity Edge"""
Which champion can grant a shield to allies with the ability 'Shield of Durand'?," ""Alistar"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Siphon of Destruction'?," ""Vladimir"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Bitter Frost', applying a slow effect on abilities?"," ""Lissandra"""
What is the name of the item that grants bonus ability power and health?," ""Rylai's Crystal Scepter"""
Which champion can reset their abilities with the ability 'Ambush'?," ""Twitch"""
What is the main function of the item 'Shard of True Ice'?," ""Provides bonus mana and ability power"""
Which champion has the ability 'Scorched Earth'?," ""Ryze"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Shield of Duran', providing bonus armor and health?"," ""Alistar"""
What is the name of the item that grants bonus attack speed and health regeneration?," ""Titanic Hydra"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and breaks shields"""
Which champion has the ability 'Abyssal Mask'?," ""Syndra"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Enlightened', providing bonus attack damage after a few attacks?"," ""Jhin"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Fimbulwinter'?," ""Grants bonus health and mana regeneration"""
Which champion has the ability 'Vengeance'?," ""Shen"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Siphon of Destruction', dealing damage over time?"," ""Vladimir"""
What is the name of the item that grants bonus attack speed and bonus health?," ""Gargoyle Stoneplate"""
Which champion can grant bonus attack speed with the ability 'Bloodthirst'?," ""Warwick"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides bonus healing to allies and health regeneration"""
Which champion has the ability 'Vanguard's Edge'?," ""Irelia"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Resonating Strike', dealing bonus damage on ability hit?"," ""Kassadin"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can knock up enemies with the ability 'Eternal Hunger'?," ""Warwick"""
Which champion has the ability 'Cosmic Radiance'?," ""Soraka"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus ability power and cooldown reduction?," ""Lich Bane"""
Which champion can provide a shield to allies with the ability 'Sacred Shield'?," ""Janna"""
What is the main function of the item 'Bramble Vest'?," ""Reduces healing on hit and provides bonus armor"""
Which champion has the ability 'Void Seeker'?," ""Kai'Sa"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Surge', providing bonus movement speed?"," ""Illaoi"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Rapid Firecannon"""
Which champion can knock up enemies with the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Grants bonus lethality and invisibility on kill"""
Which champion has the ability 'Windshaper'?," ""Karma"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus attack speed and ability power?," ""Nashor's Tooth"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Fimbulwinter'?," ""Grants bonus health and mana regeneration"""
Which champion has the ability 'Abyssal Mask'?," ""Syndra"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus health and bonus ability power?," ""Rylai's Crystal Scepter"""
Which champion can provide a shield with the ability 'Shield of Duran'?," ""Alistar"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides bonus healing to allies and health regeneration"""
Which champion has the ability 'Vengeance'?," ""Shen"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Siphon of Destruction', dealing damage over time?"," ""Vladimir"""
What is the name of the item that grants bonus attack speed and bonus health?," ""Gargoyle Stoneplate"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the name of Gnar's ultimate ability?," ""GNAR!"""
Which champion is known as 'The Winter's Wrath'?," ""Lissandra"""
What does the 'Elder Dragon' buff provide?," ""Grants bonus true damage on hits and execution power"""
Which champion can summon a portal with the ability 'Portal Jump'?," ""Kennen"""
What is the name of the item that grants bonus magic damage and attack speed?," ""Luden's Tempest"""
"Which champion's passive ability is 'Frost Shot', applying a slow effect on auto attacks?"," ""Ashe"""
What is the main function of the item 'Crown of the Shattered Queen'?," ""Provides a shield based on missing health and bonus ability power"""
Which champion can slow enemies with the ability 'Icathian Surprise'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
Which champion has the ability 'Imperial Mandate'?," ""Sona"""
What is the effect of the 'Ocean Soul'?," ""Restores health and mana over time in combat"""
Which champion's ultimate ability is 'Solar Flare'?," ""Leona"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Gargoyle Stoneplate"""
Which champion can stun enemies with the ability 'Fearsome Roar'?," ""Amumu"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Death Charge'?," ""Nautilus"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Frostborn's Fury', enhancing auto-attacks with a slow?"," ""Ashe"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can knock up enemies with the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility after a kill"""
Which champion has the ability 'Siphoning Strike'?," ""Nasus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Bitter Frost', applying a slow effect on abilities?"," ""Lissandra"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Rapid Firecannon"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Fimbulwinter'?," ""Provides health and mana regeneration"""
Which champion has the ability 'Scorched Earth'?," ""Ryze"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and mana regeneration?," ""Ravenous Hydra"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Luden's Tempest'?," ""Provides bonus magic damage and movement speed on ability hit"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'The Relentless Storm', gaining bonus attack speed?"," ""Volibear"""
What is the name of the item that grants bonus health and cooldown reduction?," ""Gargoyle Stoneplate"""
Which champion can silence enemies with the ability 'Feral Scream'?," ""Cho'Gath"""
What is the main function of the item 'Shurelya's Requiem'?," ""Grants bonus movement speed and health regeneration to allies"""
Which champion has the ability 'Siphoning Strike'?," ""Nasus"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Starfall', dealing bonus damage based on maximum health?"," ""Soraka"""
What is the name of the item that grants bonus attack speed and bonus health?," ""Titanic Hydra"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Blighted Quiver'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Immortal Shieldbow', providing a shield on low health?"," ""Aphelios"""
What is the name of the item that grants bonus attack damage and magic penetration?," ""Void Staff"""
Which champion can apply a slow effect with the ability 'Toxic Shot'?," ""Twitch"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and cooldown reduction?," ""Black Cleaver"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Guardian Angel'?," ""Revives the wearer upon death"""
Which champion has the ability 'Siphon of Destruction'?," ""Vladimir"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus health and bonus ability power?," ""Rylai's Crystal Scepter"""
Which champion can knock up enemies with the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Grants bonus lethality and invisibility on kill"""
Which champion has the ability 'Winter's Wrath'?," ""Lissandra"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Icathian Surprise', dealing damage upon death?"," ""Kog'Maw"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can grant bonus attack speed with the ability 'Bloodthirst'?," ""Warwick"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and breaks shields"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Siphon of Destruction', dealing damage over time?"," ""Vladimir"""
What is the name of the item that grants bonus attack speed and ability power?," ""Nashor's Tooth"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing to allies and health regeneration"""
Which champion has the ability 'Cosmic Radiance'?," ""Soraka"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Vengeance'?," ""Shen"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Bitter Frost', applying a slow effect on abilities?"," ""Lissandra"""
What is the name of the item that grants bonus attack damage and mana regeneration?," ""Ravenous Hydra"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Blighted Quiver'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Immortal Shieldbow', providing a shield on low health?"," ""Aphelios"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can apply a slow effect with the ability 'Toxic Shot'?," ""Twitch"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
What is the name of Jinx's ultimate ability?," ""Super Mega Death Rocket!"""
Which champion is known as 'The Unstoppable Force'?," ""Malphite"""
What is the effect of the 'Mountain Soul'?," ""Grants a shield that blocks a portion of incoming damage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the name of the item that provides bonus attack damage and bonus health?," ""Gargoyle Stoneplate"""
Which champion's passive ability is 'Might of the Ruined King'?," ""Riven"""
What is the main function of the item 'Sorcerer's Shoes'?," ""Provides bonus magic penetration"""
Which champion can disarm enemies with the ability 'Seismic Shard'?," ""Malphite"""
